<DATE>;<TIME>;GAZPROM;BRENT;RTS;USD_RUB
25.09.2020;19:00:00;17411;42.41;114870;79044
25.09.2020;20:00:00;17495;42.41;115200;78877
25.09.2020;21:00:00;17509;42.42;115480;78852
25.09.2020;22:00:00;17542;42.34;115450;78910
25.09.2020;23:00:00;17535;42.33;115430;78862
28.09.2020;10:00:00;17701;42.15;115710;79255
28.09.2020;11:00:00;17552;42.11;115170;79389
28.09.2020;12:00:00;17491;42.15;115200;79535
28.09.2020;13:00:00;17491;42.59;115600;79439
28.09.2020;14:00:00;17397;42.52;115570;79330
28.09.2020;15:00:00;17434;42.85;115750;79379
28.09.2020;16:00:00;17412;42.36;115290;79605
28.09.2020;17:00:00;17387;42.51;114650;79820
28.09.2020;18:00:00;17393;42.75;115140;79700
28.09.2020;19:00:00;17422;42.87;115090;79845
28.09.2020;20:00:00;17437;42.74;115120;79768
28.09.2020;21:00:00;17454;43.02;115330;79725
28.09.2020;22:00:00;17458;42.91;115330;79704
28.09.2020;23:00:00;17460;42.99;115520;79739
29.09.2020;10:00:00;17332;42.7;113830;80264
29.09.2020;11:00:00;17375;42.61;113370;80462
29.09.2020;12:00:00;17465;42.7;114310;80067
29.09.2020;13:00:00;17459;42.69;114810;79566
29.09.2020;14:00:00;17420;42.66;114780;79470
29.09.2020;15:00:00;17353;42.66;114790;79414
29.09.2020;16:00:00;17379;42.31;114920;79441
29.09.2020;17:00:00;17248;41.82;113870;79853
29.09.2020;18:00:00;17266;41.17;114240;79933
29.09.2020;19:00:00;17318;41.24;114610;79697
29.09.2020;20:00:00;17321;41.27;114760;79668
29.09.2020;21:00:00;17334;41.45;114920;79534
29.09.2020;22:00:00;17332;41.37;114810;79623
29.09.2020;23:00:00;17342;41.38;114620;79738
30.09.2020;10:00:00;17250;41.26;114360;79419
30.09.2020;11:00:00;17253;41.3;114930;79128
30.09.2020;12:00:00;17212;41.1;115120;78916
30.09.2020;13:00:00;17259;41.19;115420;78987
30.09.2020;14:00:00;17276;41.38;115340;79073
30.09.2020;15:00:00;17220;41.38;115600;78738
30.09.2020;16:00:00;17279;41.62;116380;78419
30.09.2020;17:00:00;17310;41.87;116630;78210
30.09.2020;18:00:00;17289;41.82;116400;78211
30.09.2020;19:00:00;17306;42.1;116620;78252
30.09.2020;20:00:00;17322;42.05;116630;78244
30.09.2020;21:00:00;17305;42.16;116250;78412
30.09.2020;22:00:00;17320;42.11;116400;78325
30.09.2020;23:00:00;17191;42.09;115990;78251
01.10.2020;10:00:00;17086;42.1;116490;77974
01.10.2020;11:00:00;16986;41.97;115850;78013
01.10.2020;12:00:00;17026;42.06;116340;77951
01.10.2020;13:00:00;17033;41.82;116440;77829
01.10.2020;14:00:00;17153;41.77;117020;77720
01.10.2020;15:00:00;17147;41.66;116780;77821
01.10.2020;16:00:00;17011;41.02;115730;77952
01.10.2020;17:00:00;17005;40.38;115700;78075
01.10.2020;18:00:00;16992;40.14;115540;78155
01.10.2020;19:00:00;17006;40.56;115560;78119
01.10.2020;20:00:00;17010;40.74;115720;77958
01.10.2020;21:00:00;16999;40.97;115840;77959
01.10.2020;22:00:00;17020;40.89;115840;77925
01.10.2020;23:00:00;17002;40.9;115630;77928
02.10.2020;10:00:00;16931;39.77;113630;78803
02.10.2020;11:00:00;16954;39.72;113260;79065
02.10.2020;12:00:00;16954;39.3;113090;79125
02.10.2020;13:00:00;17035;39.36;113660;79030
02.10.2020;14:00:00;17067;39.37;113590;79181
02.10.2020;15:00:00;17075;39.16;113560;79211
02.10.2020;16:00:00;17151;39.3;114300;78970
02.10.2020;17:00:00;17160;39.4;114280;79063
02.10.2020;18:00:00;17138;39.8;114470;78836
02.10.2020;19:00:00;17154;39.57;114680;78742
02.10.2020;20:00:00;17128;39.28;114410;78795
02.10.2020;21:00:00;17117;39.12;114390;78807
02.10.2020;22:00:00;17130;39.15;114370;78794
02.10.2020;23:00:00;17115;39.23;114600;78749
05.10.2020;10:00:00;17076;39.99;114560;78827
05.10.2020;11:00:00;17050;40.22;114150;78917
05.10.2020;12:00:00;17081;40.81;114480;78881
05.10.2020;13:00:00;17104;40.77;114350;79150
05.10.2020;14:00:00;17148;40.9;114380;79286
05.10.2020;15:00:00;17160;40.64;114280;79367
05.10.2020;16:00:00;17079;41.06;114610;78971
05.10.2020;17:00:00;17159;41.51;115590;78819
05.10.2020;18:00:00;17136;41.66;115450;78929
05.10.2020;19:00:00;17172;41.7;115740;78685
05.10.2020;20:00:00;17169;41.6;115450;78785
05.10.2020;21:00:00;17210;41.44;115750;78721
05.10.2020;22:00:00;17219;41.5;115840;78731
05.10.2020;23:00:00;17221;41.6;115820;78645
06.10.2020;10:00:00;17486;41.44;116060;79104
06.10.2020;11:00:00;17464;41.67;115960;79070
06.10.2020;12:00:00;17435;41.69;116100;78974
06.10.2020;13:00:00;17433;41.73;116380;78788
06.10.2020;14:00:00;17473;42.02;116960;78441
06.10.2020;15:00:00;17469;42.28;117180;78357
06.10.2020;16:00:00;17441;42.59;116950;78444
06.10.2020;17:00:00;17404;42.74;116690;78529
06.10.2020;18:00:00;17388;42.56;116380;78605
06.10.2020;19:00:00;17441;42.33;116530;78595
06.10.2020;20:00:00;17447;42.41;116560;78558
06.10.2020;21:00:00;17404;42.28;115800;78849
06.10.2020;22:00:00;17370;42.18;115670;78941
06.10.2020;23:00:00;17314;41.99;115290;79035
07.10.2020;10:00:00;17265;42.23;115520;78632
07.10.2020;11:00:00;17097;42.12;115240;78703
07.10.2020;12:00:00;17063;42;114830;78908
07.10.2020;13:00:00;16944;41.76;114380;78940
07.10.2020;14:00:00;16938;41.85;114390;78698
07.10.2020;15:00:00;16959;42.11;114780;78561
07.10.2020;16:00:00;16927;41.74;114160;78817
07.10.2020;17:00:00;16911;41.46;114120;78793
07.10.2020;18:00:00;16910;41.72;114040;78828
07.10.2020;19:00:00;16928;41.6;114060;78754
07.10.2020;20:00:00;16970;41.85;114390;78734
07.10.2020;21:00:00;16983;42.01;114560;78578
07.10.2020;22:00:00;16980;42.12;114470;78582
07.10.2020;23:00:00;16984;42.19;114590;78577
08.10.2020;10:00:00;16928;42.57;114900;78487
08.10.2020;11:00:00;16945;42.57;114700;78565
08.10.2020;12:00:00;16956;42.61;114730;78492
08.10.2020;13:00:00;16929;42.71;115060;78180
08.10.2020;14:00:00;16878;42.73;115150;78040
08.10.2020;15:00:00;16916;42.98;115340;78034
08.10.2020;16:00:00;16825;43.17;115190;78021
08.10.2020;17:00:00;16837;42.83;115060;78058
08.10.2020;18:00:00;16827;42.88;115190;77975
08.10.2020;19:00:00;16882;43.4;115570;77894
08.10.2020;20:00:00;16874;43.3;115420;77891
08.10.2020;21:00:00;16909;43.43;115280;77931
08.10.2020;22:00:00;16901;43.45;115360;77876
08.10.2020;23:00:00;16904;43.5;115450;77905
09.10.2020;10:00:00;16817;43.49;115150;77519
09.10.2020;11:00:00;16796;43.05;114680;77623
09.10.2020;12:00:00;16885;43.05;114980;77718
09.10.2020;13:00:00;16892;43.03;115170;77646
09.10.2020;14:00:00;16944;43.05;115590;77607
09.10.2020;15:00:00;16933;43.15;115910;77455
09.10.2020;16:00:00;16936;43.19;116110;77426
09.10.2020;17:00:00;16889;43.18;116320;77227
09.10.2020;18:00:00;16873;43.28;116080;77282
09.10.2020;19:00:00;16863;42.81;115870;77366
09.10.2020;20:00:00;16868;42.88;115940;77307
09.10.2020;21:00:00;16875;42.77;115900;77282
09.10.2020;22:00:00;16852;42.85;115900;77350
09.10.2020;23:00:00;16856;42.84;115920;77270
12.10.2020;10:00:00;16964;42.35;116320;77532
12.10.2020;11:00:00;17060;42.21;116340;77666
12.10.2020;12:00:00;17050;42.32;116220;77688
12.10.2020;13:00:00;17089;42.45;116720;77582
12.10.2020;14:00:00;17047;42.36;116730;77487
